Account,Value
Infrastructure and platforms, 31130
Sponsorships, donations and grants, 15912
Operating account costs, 7638
Insurance, 6933
Advertising and marketing, 4197
Face to face, 3688
Bank fees, 2895
Ghosts and organiser gifts, 2265
Storage, 1193
Postage and printing, 1476
Awards and acknowledgements, 948
GitHub and domains etc, 574
Hardware, 239
