Account,Value
Donations and grants,28091 
Hardware,9998 
Accounting,9260
Bank Fees,7281
Insurance,5447
Cloud,4858
Face-to-Face,3080
APNIC/Domains/SSL,2683 
Assets,1800
Bid Review,903  
Postage & Printing,446
Advertising,399
Gov Fees,59
